state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Illinois,DuPage County,Midwest,Metro,1,69,922921,193611,281222,57.976267,25.36940575,49.38703537,7.9,96354
Texas,Grayson County,South,Metro,3,40.6,136212,44163,14506,24.404852,38.20814896,20.43686485,5.9,57439
New York,Niagara County,Northeast,Metro,1,60.5,209281,56068,46029,44.2246349,33.373806,24.60093117,10.4,56371
Alabama,Cullman County,South,Non-metro,4,35.2,83768,36880,4478,10.6998638,33.61743546,13.86550236,4.3,50897
Montana,Pondera County,West,Non-metro,7,48.7,5911,2031,903,30.1502504,35.5736084,23.95371819,4.9,48542
Indiana,Jennings County,Midwest,Non-metro,6,37.1,27735,9490,2523,20.5942372,29.96519279,12.01350021,7.6,55022
Nevada,Esmeralda County,West,Non-metro,9,37.6,873,400,74,15.1950719,31.63138199,16.06475639,5.2,50675
Arkansas,Madison County,South,Metro,2,39,16576,5658,1563,21.2624133,22.56015778,14.22309685,3.9,48016
Illinois,Effingham County,Midwest,Non-metro,7,44.4,34008,15006,3716,19.4728292,34.54809952,22.72124481,6.6,58943
Illinois,Jefferson County,Midwest,Non-metro,7,40.6,37684,12476,4608,26.4280798,38.88259125,17.94348717,10.1,50531
New Jersey,Somerset County,Northeast,Metro,1,67.4,328934,71996,111173,59.4854755,19.56226158,54.66452789,7.8,112722
New York,Lewis County,Northeast,Non-metro,6,47.4,26296,8894,3824,29.5426452,27.07516289,18.42047882,7.7,56599
New York,Livingston County,Northeast,Metro,1,54.3,62914,18182,12477,39.7344034,32.24846649,26.4515667,7.1,60268
Georgia,Baldwin County,South,Non-metro,4,15.3,44890,8903,9140,50.0794477,27.46538925,23.27298546,6.9,44429
Georgia,Wilcox County,South,Non-metro,8,15,8635,2402,861,26.2580055,24.39522552,12.17404938,5.7,38261
West Virginia,Wyoming County,South,Non-metro,6,36.3,20394,7353,1157,13.4660149,22.18332672,9.341371536,10.5,42761
Oklahoma,Cleveland County,South,Metro,1,48.1,284014,66677,49827,41.599459,33.7041893,33.44502258,5.6,64706
Texas,Fayette County,South,Non-metro,6,45.6,25346,10171,2661,20.5625531,27.30059624,19.69124603,4.7,62195
Mississippi,Claiborne County,South,Non-metro,8,48.7,8988,603,3772,84.7069391,28.37941551,23.98233414,14.4,31221
Utah,Wasatch County,West,Non-metro,6,52,34091,10795,6187,35.1913998,32.91225815,39.87051773,6.4,92136
Florida,Hamilton County,South,Non-metro,6,33,14428,3815,1963,33.670669,19.76318741,7.92260313,7.6,39241
Florida,Glades County,South,Non-metro,6,30.6,13811,3782,1385,26.670518,25.1370945,11.15354443,5.6,45412
West Virginia,Marion County,South,Non-metro,4,9,56072,16300,8901,34.5080251,26.16327095,22.5829792,8.7,51300
California,San Benito County,West,Metro,1,56.4,62808,10590,17628,61.1637348,35.96693802,19.72893906,9.9,84209
Texas,Williamson County,South,Metro,1,60.1,590551,139729,143795,49.7023974,31.40814972,41.3154068,5.9,92661
Georgia,Jenkins County,South,Non-metro,6,22.8,8676,2161,1266,36.642547,26.61193848,7.884385109,6.3,32808
Texas,Lampasas County,South,Metro,2,42.1,21428,8086,2144,20.6173671,41.65306091,19.89795876,5.4,58817
Louisiana,Webster Parish,South,Metro,2,39.2,38340,11830,6172,33.8823013,26.46994019,15.40496826,7.9,38386
Illinois,Tazewell County,Midwest,Metro,2,54.4,131803,42513,24819,35.9429987,34.69685364,26.3002739,8.1,66206
Florida,Martin County,South,Metro,2,58.5,161000,61168,36893,37.3690821,31.99787903,34.0821991,6.1,70806
Ohio,Pickaway County,Midwest,Metro,1,45.7,58457,20593,7304,25.835662,26.16580963,18.41196442,6.8,63931
Florida,Hillsborough County,South,Metro,1,55.1,1471968,327398,376367,52.8558569,28.024786,33.52091217,7.1,61133
Illinois,McLean County,Midwest,Metro,3,57.9,171517,40502,43933,50.2729176,26.50647163,44.83215714,6.8,69230
Kansas,Ottawa County,Midwest,Non-metro,9,37.4,5704,2581,504,15.954416,35.11263657,24.46131325,4.3,58729
Pennsylvania,Lehigh County,Northeast,Metro,2,66.9,369318,84259,98288,53.2111979,26.13674164,29.89421082,9.6,65436
Iowa,Monona County,Midwest,Non-metro,6,50,8615,3248,1407,29.7588832,38.68682098,15.27318573,4.8,53104
Pennsylvania,Chester County,Northeast,Metro,1,62,524989,128565,182372,57.7578044,19.83023453,52.98846054,6.4,102233
North Dakota,Dickey County,Midwest,Non-metro,9,48.4,4872,1742,608,25.0825083,34.76691818,28.75188065,3.3,57490
Texas,Upshur County,South,Metro,3,30.9,41753,15809,2877,15.2326997,34.32627106,17.09144402,7.7,53078
Georgia,Gwinnett County,South,Metro,1,31.6,936250,166400,241994,58.4494098,28.41047668,36.93325806,6.3,72225
Florida,Calhoun County,South,Non-metro,6,31.8,14105,5274,1209,18.5258964,25.81718063,9.511592865,5.2,41399
North Dakota,Ward County,Midwest,Non-metro,5,41.2,67641,19974,7293,25.8195851,34.44862747,29.29316139,6,68634
Oklahoma,Oklahoma County,South,Metro,1,57.5,797434,145050,141724,48.0844134,29.73661423,31.98831749,6.4,56272
Minnesota,Hennepin County,Midwest,Metro,1,66.1,1265843,205973,532623,70.4556668,26.88082123,50.06144714,6.6,82323
